TravYear,SegMode,DayType,TimePeriod,TravFromStn,TravToStn,hour_24,minute_15,AvgHrlyVol
2025,C,MF,Night,BC,KE,21,0,1401.049526
2025,C,MF,PM Peak,BC,KE,16,45,4871.258232
2025,C,Sat,AM Peak,KE,BC,8,45,1470.575622
2025,C,Sat,Early AM,SI,YA,5,45,473.0683605
2025,C,Sat,Evening,BC,KE,18,0,1992.370804
2025,C,Sat,Late Night,BC,KE,0,0,535.1693407
2025,C,Sat,Midday,KE,BC,13,15,2226.310874
2025,C,Sat,Night,BC,KE,21,15,1338.124536
2025,C,Sat,PM Peak,BC,KE,17,0,2268.793187
2025,C,Sun/Hol,AM Peak,KE,BC,8,45,1124.45654
2025,C,Sun/Hol,Early AM,OR,KE,5,45,441.4142087
2025,C,Sun/Hol,Evening,BC,KE,18,0,1788.689224
2025,C,Sun/Hol,Late Night,BP,MD,0,0,256.5876902
2025,C,Sun/Hol,Midday,KE,BC,13,15,1922.456264
2025,C,Sun/Hol,Night,BC,KE,21,0,1002.126675
2025,C,Sun/Hol,PM Peak,BC,KE,16,30,2071.611044
2025,M,MF,AM Peak,BW,MN,8,0,10877.49485
2025,M,MF,Early AM,NW,TS,5,45,4211.632167
2025,M,MF,Evening,MN,BW,18,0,6335.473208
2025,M,MF,Late Night,MN,BW,0,0,1224.485635
2025,M,MF,Midday,BW,MN,9,0,6418.6479
2025,M,MF,Night,MN,BW,21,0,3382.982389
2025,M,MF,PM Peak,MN,BW,16,45,10255.66462
2025,M,Sat,AM Peak,BW,MN,8,45,3388.794948
2025,M,Sat,Early AM,SR,CO,5,45,1293.839308
2025,M,Sat,Evening,MN,BW,18,0,4241.55423
2025,M,Sat,Late Night,MN,BW,0,0,1874.099945
2025,M,Sat,Midday,BW,MN,14,0,3937.285501
2025,M,Sat,Night,MN,BW,21,15,3508.482867
2025,M,Sat,PM Peak,MN,BW,16,45,4564.56851
2025,M,Sun/Hol,AM Peak,BW,MN,7,30,2861.136182
2025,M,Sun/Hol,Early AM,SR,CO,5,45,51.08251623
2025,M,Sun/Hol,Evening,MN,BW,18,0,3792.546878
2025,M,Sun/Hol,Late Night,NW,CO,0,0,714.7240766
2025,M,Sun/Hol,Midday,BW,MN,13,45,3485.026125
2025,M,Sun/Hol,Night,MN,BW,21,0,2353.582512
2025,M,Sun/Hol,PM Peak,MN,BW,16,45,4185.998536
