TravYear,SegMode,DayType,FromStn_Short,ToStn_Short,FromStn_Long,ToStn_Long,SegDir,SegID,AvgDailyVol
2023,C,Sat,YA,SI,YVR-Airport Stn,Sea Island Stn,Inbound,94,6855.292181
2023,C,Sat,YA,SI,YVR-Airport Stn,Sea Island Stn,Outbound,94,6439.751003
2023,C,Sat,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Inbound,81,21880.88128
2023,C,Sat,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Outbound,81,20513.14701
2023,C,Sun/Hol,AB,BP,Aberdeen Stn,Bridgeport Stn,Inbound,89,10642.35374
2023,C,Sun/Hol,AB,BP,Aberdeen Stn,Bridgeport Stn,Outbound,89,10451.9586
2023,C,Sun/Hol,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Inbound,83,20649.96265
2023,C,Sun/Hol,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Outbound,83,20371.33016
2023,C,Sun/Hol,BP,MD,Bridgeport Stn,Marine Drive Stn,Inbound,88,20158.65401
2023,C,Sun/Hol,BP,MD,Bridgeport Stn,Marine Drive Stn,Outbound,88,19728.34622
2023,C,Sun/Hol,KE,BC,King Edward Stn,Broadway-City Hall Stn,Inbound,84,21934.63557
2023,C,Sun/Hol,KE,BC,King Edward Stn,Broadway-City Hall Stn,Outbound,84,21466.54079
2023,C,Sun/Hol,LA,AB,Lansdowne Stn,Aberdeen Stn,Inbound,90,9062.010753
2023,C,Sun/Hol,LA,AB,Lansdowne Stn,Aberdeen Stn,Outbound,90,8771.737557
2023,C,Sun/Hol,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Inbound,86,21791.33949
2023,C,Sun/Hol,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Outbound,86,21155.3019
2023,C,Sun/Hol,MD,LG,Marine Drive Stn,Langara-49th Stn,Inbound,87,21397.41567
2023,C,Sun/Hol,MD,LG,Marine Drive Stn,Langara-49th Stn,Outbound,87,20922.84561
2023,C,Sun/Hol,OR,KE,Oakridge-41st Stn,King Edward Stn,Inbound,85,21470.77874
2023,C,Sun/Hol,OR,KE,Oakridge-41st Stn,King Edward Stn,Outbound,85,20821.23085
2023,C,Sun/Hol,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Inbound,82,20612.5363
2023,C,Sun/Hol,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Outbound,82,20177.86188
2023,C,Sun/Hol,RB,LA,Brighouse Stn,Lansdowne Stn,Inbound,91,6795.454329
2023,C,Sun/Hol,RB,LA,Brighouse Stn,Lansdowne Stn,Outbound,91,6513.563228
2023,C,Sun/Hol,SI,TE,Sea Island Stn,Templeton Stn,Inbound,93,7142.613987
2023,C,Sun/Hol,SI,TE,Sea Island Stn,Templeton Stn,Outbound,93,6461.132431
2023,C,Sun/Hol,TE,BP,Templeton Stn,Bridgeport Stn,Inbound,92,7974.408818
2023,C,Sun/Hol,TE,BP,Templeton Stn,Bridgeport Stn,Outbound,92,7643.26473
2023,C,Sun/Hol,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Inbound,80,8571.531639
2023,C,Sun/Hol,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Outbound,80,8106.541535
2023,C,Sun/Hol,YA,SI,YVR-Airport Stn,Sea Island Stn,Inbound,94,7186.723632
2023,C,Sun/Hol,YA,SI,YVR-Airport Stn,Sea Island Stn,Outbound,94,6412.476116
2023,C,Sun/Hol,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Inbound,81,17615.35992
2023,C,Sun/Hol,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Outbound,81,17030.35758
2023,M,MF,BD,SA,Braid Stn,Sapperton Stn,Inbound,56,16669.29595
2023,M,MF,BD,SA,Braid Stn,Sapperton Stn,Outbound,56,16859.15256
2023,M,MF,BQ,LH,Burquitlam Stn,Lougheed Stn,Inbound,68,13705.02874
2023,M,MF,BQ,LH,Burquitlam Stn,Lougheed Stn,Outbound,68,13696.93064
2023,M,MF,BR,GM,Brentwood Stn,Gilmore Stn,Inbound,38,16419.44767
2023,M,MF,BR,GM,Brentwood Stn,Gilmore Stn,Outbound,38,16058.79955
2023,M,MF,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Inbound,23,13307.11868
2023,M,MF,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Outbound,23,16094.21852
2023,M,MF,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Inbound,59,20551.12944
2023,M,MF,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Outbound,59,21040.43864
2023,M,MF,BW,MN,Commercial-Broadway Stn,Main Street Stn,Inbound,60,60263.76098
2023,M,MF,BW,MN,Commercial-Broadway Stn,Main Street Stn,Outbound,60,59721.0447
2023,M,MF,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Inbound,74,9536.386753
2023,M,MF,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Outbound,74,9619.930118
2023,M,MF,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Inbound,29,2456.439187
2023,M,MF,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Outbound,29,2748.751716
2023,M,MF,CO,NW,Columbia Stn,New Westminster Stn,Inbound,14,46867.01575
2023,M,MF,CO,NW,Columbia Stn,New Westminster Stn,Outbound,14,44934.29539
2023,M,MF,ED,RO,Edmonds Stn,Royal Oak Stn,Inbound,8,52275.77032
2023,M,MF,ED,RO,Edmonds Stn,Royal Oak Stn,Outbound,8,50197.497
2023,M,MF,GM,RU,Gilmore Stn,Rupert Stn,Inbound,36,17123.57732
2023,M,MF,GM,RU,Gilmore Stn,Rupert Stn,Outbound,36,16491.81582
2023,M,MF,GV,BU,Granville Stn,Burrard Stn,Inbound,26,29906.79124
2023,M,MF,GV,BU,Granville Stn,Burrard Stn,Outbound,26,32024.8511
2023,M,MF,GW,SR,Gateway Stn,Scott Road Stn,Inbound,19,32425.58676
2023,M,MF,GW,SR,Gateway Stn,Scott Road Stn,Outbound,19,30737.6398
2023,M,MF,HO,BR,Holdom Stn,Brentwood Stn,Inbound,40,15625.54755
2023,M,MF,HO,BR,Holdom Stn,Brentwood Stn,Outbound,40,14909.42002
2023,M,MF,IC,MC,Inlet Centre Stn,Moody Center Stn,Inbound,72,10798.00336
2023,M,MF,IC,MC,Inlet Centre Stn,Moody Center Stn,Outbound,72,10864.83193
2023,M,MF,JY,TN,Joyce Stn,29th Av Stn,Inbound,67,53429.68886
2023,M,MF,JY,TN,Joyce Stn,29th Av Stn,Outbound,67,53265.72178
2023,M,MF,KG,SC,King George Stn,Surrey Central Stn,Inbound,25,14279.69346
2023,M,MF,KG,SC,King George Stn,Surrey Central Stn,Outbound,25,6972.041375
2023,M,MF,LC,SP,Lake City Way Stn,Sperling Stn,Inbound,44,14016.33227
2023,M,MF,LC,SP,Lake City Way Stn,Sperling Stn,Outbound,44,13784.83517
2023,M,MF,LH,BD,Lougheed Stn,Braid Stn,Inbound,53,14553.65634
2023,M,MF,LH,BD,Lougheed Stn,Braid Stn,Outbound,53,14761.38246
2023,M,MF,LH,PW,Lougheed Stn,Production Way Stn,Inbound,50,15934.41941
2023,M,MF,LH,PW,Lougheed Stn,Production Way Stn,Outbound,50,15682.05378
2023,M,MF,LL,LN,Lafarge Lake/Douglas College Stn,Lincoln Stn,Inbound,78,2233.483152
2023,M,MF,LL,LN,Lafarge Lake/Douglas College Stn,Lincoln Stn,Outbound,78,2276.334415
2023,M,MF,LN,CC,Lincoln Stn,Coquitlam Central Stn - Millennium,Inbound,76,5502.658598
2023,M,MF,LN,CC,Lincoln Stn,Coquitlam Central Stn - Millennium,Outbound,76,5289.439955
2023,M,MF,MC,BQ,Moody Center Stn,Burquitlam Stn,Inbound,70,11828.03213
2023,M,MF,MC,BQ,Moody Center Stn,Burquitlam Stn,Outbound,70,11710.79265
2023,M,MF,MN,ST,Main Street Stn,Stadium Stn,Inbound,57,56760.87024
2023,M,MF,MN,ST,Main Street Stn,Stadium Stn,Outbound,57,55887.0168
2023,M,MF,MT,PT,Metrotown Stn,Patterson Stn,Inbound,4,52351.45237
2023,M,MF,MT,PT,Metrotown Stn,Patterson Stn,Outbound,4,52002.64585
2023,M,MF,NA,BW,Nanaimo Stn,Commercial-Broadway Stn,Inbound,62,55558.6184
2023,M,MF,NA,BW,Nanaimo Stn,Commercial-Broadway Stn,Outbound,62,55364.53373
2023,M,MF,NW,TS,New Westminster Stn,22nd St Stn,Inbound,12,47859.03848
2023,M,MF,NW,TS,New Westminster Stn,22nd St Stn,Outbound,12,46345.11583
2023,M,MF,PT,JY,Patterson Stn,Joyce Stn,Inbound,3,52725.2792
2023,M,MF,PT,JY,Patterson Stn,Joyce Stn,Outbound,3,52456.67869
2023,M,MF,PW,LC,Production Way Stn,Lake City Way Stn,Inbound,48,13951.75464
2023,M,MF,PW,LC,Production Way Stn,Lake City Way Stn,Outbound,48,13690.43862
2023,M,MF,RE,CM,Renfrew Stn,Commercial Drive Stn,Inbound,32,18862.82267
2023,M,MF,RE,CM,Renfrew Stn,Commercial Drive Stn,Outbound,32,17961.53841
2023,M,MF,RO,MT,Royal Oak Stn,Metrotown Stn,Inbound,6,54250.90058
2023,M,MF,RO,MT,Royal Oak Stn,Metrotown Stn,Outbound,6,52097.61915
2023,M,MF,RU,RE,Rupert Stn,Renfrew Stn,Inbound,34,17985.46291
2023,M,MF,RU,RE,Rupert Stn,Renfrew Stn,Outbound,34,17253.05233
2023,M,MF,SA,CO,Sapperton Stn,Columbia Stn,Inbound,16,18318.85086
2023,M,MF,SA,CO,Sapperton Stn,Columbia Stn,Outbound,16,18323.65206
2023,M,MF,SC,GW,Surrey Central Stn,Gateway Stn,Inbound,21,27989.28344
2023,M,MF,SC,GW,Surrey Central Stn,Gateway Stn,Outbound,21,27010.68422
2023,M,MF,SP,HO,Sperling Stn,Holdom Stn,Inbound,42,14546.40731
2023,M,MF,SP,HO,Sperling Stn,Holdom Stn,Outbound,42,14125.09715
2023,M,MF,SR,CO,Scott Road Stn,Columbia Stn,Inbound,17,38469.11258
2023,M,MF,SR,CO,Scott Road Stn,Columbia Stn,Outbound,17,37101.56967
2023,M,MF,ST,GV,Stadium Stn,Granville Stn,Inbound,46,48683.02988
2023,M,MF,ST,GV,Stadium Stn,Granville Stn,Outbound,46,48289.29302
2023,M,MF,TN,NA,29th Av Stn,Nanaimo Stn,Inbound,64,54587.24242
2023,M,MF,TN,NA,29th Av Stn,Nanaimo Stn,Outbound,64,54440.02872
2023,M,MF,TS,ED,22nd St Stn,Edmonds Stn,Inbound,10,48696.38717
2023,M,MF,TS,ED,22nd St Stn,Edmonds Stn,Outbound,10,46896.14021
2023,M,Sat,BD,SA,Braid Stn,Sapperton Stn,Inbound,56,11060.29993
2023,M,Sat,BD,SA,Braid Stn,Sapperton Stn,Outbound,56,11067.04939
2023,M,Sat,BQ,LH,Burquitlam Stn,Lougheed Stn,Inbound,68,11095.01505
2023,M,Sat,BQ,LH,Burquitlam Stn,Lougheed Stn,Outbound,68,10945.24472
2023,M,Sat,BR,GM,Brentwood Stn,Gilmore Stn,Inbound,38,12201.61619
2023,M,Sat,BR,GM,Brentwood Stn,Gilmore Stn,Outbound,38,11580.1886
2023,M,Sat,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Inbound,23,11235.53953
2023,M,Sat,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Outbound,23,13208.14112
2023,M,Sat,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Inbound,59,15343.22824
2023,M,Sat,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Outbound,59,17129.96147
2023,M,Sat,BW,MN,Commercial-Broadway Stn,Main Street Stn,Inbound,60,50089.26017
2023,M,Sat,BW,MN,Commercial-Broadway Stn,Main Street Stn,Outbound,60,47482.5941
2023,M,Sat,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Inbound,74,7590.837632
2023,M,Sat,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Outbound,74,7517.390505
