CalendarYear,StationName,AnnualStationBrdgs,AvgStationBrdgs_MF,AvgStationBrdgs_Sat,AvgStationBrdgs_SunHol
2024,Lafarge Lake-Douglas Station,745940.3295,2365.127548,1512.696047,1205.590394
2024,Lake City Way Station,293690.3267,982.5025378,488.675673,363.6316894
2024,Langara-49th Avenue Station,2506051.921,7852.775929,5272.858598,4254.185649
2024,Lansdowne Station,1577072.764,4614.330859,4180.957913,3241.454906
2024,Lincoln Station,1220465.363,3662.600251,3003.917216,2342.680084
2024,Lougheed Town Centre Station,3772585.68,11643.62052,8635.360005,6527.468473
2024,Main Street-Science World Station,3828103.3,11588.71283,9347.920854,7021.875704
2024,Marine Drive Station,3411085.504,10154.99473,8246.819043,6979.341947
2024,Metrotown Station,8514695.909,25033.33115,21772.12264,17680.70886
2024,Moody Centre Station,792365.1866,2450.419354,1826.146669,1342.325241
2024,Nanaimo Station,2217969.866,6650.818718,5440.982719,4292.075451
2024,New Westminster Station,4563026.029,14212.06484,10169.48453,7621.672113
2024,Oakridge-41st Avenue Station,2332417.289,7111.99193,5410.288353,4310.712365
2024,Olympic Village Station,1290072.796,4012.246741,2839.887925,2205.372079
2024,Patterson Station,1407085.797,4253.752204,3369.77022,2656.514567
2024,Production Way-University Station,1431527.532,4906.407353,2088.633329,1557.279506
2024,Renfrew Station,1377930.655,4507.02256,2511.276702,1924.54844
2024,Richmond-Brighouse Station,3619449.533,10839.14004,8748.798322,7162.556147
2024,Royal Oak Station,1797716.77,5581.043315,3961.127853,3108.589793
2024,Rupert Station,857375.2917,2548.310485,2114.595215,1736.723534
2024,Sapperton Station,970859.4911,3173.34016,1803.122373,1337.468123
2024,Scott Road Station,4021507.589,12331.32203,9356.717908,7145.524214
2024,Sea Island Station,322628.1537,1000.627364,663.0847318,599.8697547
2024,Sperling-Burnaby Lake Station,594587.067,1858.886247,1318.988644,971.3381829
2024,Stadium-Chinatown Station,4930485.939,14268.02132,14491.61717,9602.839041
2024,Surrey Central Station,6009947.005,18419.03801,14008.47179,10694.86166
2024,Templeton Station,1278422.104,3386.645135,3690.552388,3742.134486
2024,VCC-Clark Station,877185.8288,2984.565081,1394.220712,946.6099486
2024,Vancouver City Centre Station,4970572.725,14831.16739,12074.56785,9995.915625
2024,Waterfront Station,10444040.83,31746.1043,24326.13579,19604.64305
2024,YVR-Airport Station,2922336.562,8162.686326,7423.742686,7750.662257
2024,Yaletown-Roundhouse Station,3054957.63,8954.357826,7964.440765,6325.717093
2025,22nd Street Station,3204768.878,10068.34583,6803.818487,5446.47001
2025,29th Avenue Station,2237670.93,6758.331534,5409.504068,4312.469197
2025,Aberdeen Station,1222857.619,3333.644708,3753.443648,3091.302494
2025,Braid Station,1364433.276,4372.398923,2816.453105,2055.735109
2025,Brentwood Town Centre Station,2346108.354,7322.618738,5263.325552,3944.707362
2025,Bridgeport Station,3173386.275,9458.885425,7735.317307,6543.787536
2025,Broadway-City Hall Station,3558736.395,11226.23738,7451.459505,5956.209696
2025,Burquitlam Station,1621742.033,5167.297314,3377.630529,2532.546331
2025,Burrard Station,6072050.898,19596.08618,11636.12824,9340.659348
2025,Capstan Station,589003.7707,1698.183069,1601.684587,1301.027249
2025,Columbia Station,1391765.745,4345.643632,3189.499164,2279.879506
2025,Commercial-Broadway Station,6444686.646,19802.02941,14922.74502,11658.47095
2025,Coquitlam Central Station,1594627.647,4895.7702,3820.123919,2797.387591
2025,Edmonds Station,3408091.328,10730.53888,7232.496489,5705.04412
2025,Gateway Station,2203473.359,6795.40709,4979.646345,3988.781398
2025,Gilmore Station,1142782.959,3696.830163,2280.776318,1651.826302
2025,Granville Station,5860597.481,17760.17708,13885.38557,11292.8233
2025,Holdom Station,847237.1892,2689.580174,1800.220663,1332.458949
2025,Inlet Centre Station,637247.5459,1999.002144,1427.587034,1034.776743
2025,Joyce-Collingwood Station,4994401.58,14900.9682,12175.00395,10244.0194
2025,King Edward Station,2154768.586,6568.77447,4996.148942,4090.965733
2025,King George Station,4788904.279,15201.09506,10014.04287,7666.19193
2025,Lafarge Lake-Douglas Station,754355.7887,2401.528523,1544.650963,1206.997921
2025,Lake City Way Station,261184.2495,878.7105583,423.3210214,326.9436613
2025,Langara-49th Avenue Station,2497184.506,7833.919647,5254.200633,4325.446171
2025,Lansdowne Station,1567008.218,4597.287548,4116.609363,3274.111072
2025,Lincoln Station,1244855.027,3772.222907,3042.337389,2325.26465
2025,Lougheed Town Centre Station,3716691.333,11541.26522,8435.042054,6397.467244
2025,Main Street-Science World Station,3619806.265,11091.05607,8504.107897,6569.396128
2025,Marine Drive Station,3330797.554,9910.179017,8140.824949,6919.234771
2025,Metrotown Station,8228418.184,24330.46221,20804.9354,17117.02946
2025,Moody Centre Station,791716.5361,2472.076571,1774.051025,1329.090665
2025,Nanaimo Station,2181438.941,6570.978936,5279.570532,4266.13073
2025,New Westminster Station,4584272.868,14309.18506,10238.98627,7741.041324
2025,Oakridge-41st Avenue Station,2226872.103,6842.83643,5115.941035,4058.765145
2025,Olympic Village Station,1328334.635,4150.579526,2880.722117,2295.282495
2025,Patterson Station,1418845.687,4297.954623,3381.189752,2725.093442
2025,Production Way-University Station,1373657.919,4731.492226,1975.486259,1500.347098
2025,Renfrew Station,1147207.619,3730.564929,2139.810275,1703.959724
2025,Richmond-Brighouse Station,3627210.059,10865.85753,8791.356832,7312.720567
2025,Royal Oak Station,1773195.092,5536.105286,3849.521616,3077.936256
2025,Rupert Station,790518.3913,2363.929552,1939.826031,1590.660136
2025,Sapperton Station,978755.8888,3195.740224,1837.558495,1394.758024
2025,Scott Road Station,3841398.501,11878.13519,8705.020736,6814.767622
2025,Sea Island Station,345670.2374,1064.688871,734.2703783,668.3898094
2025,Sperling-Burnaby Lake Station,574498.9808,1808.247069,1235.515099,950.8757328
2025,Stadium-Chinatown Station,4802884.682,14013.44564,13242.94951,9829.489058
2025,Surrey Central Station,5086325.2,15669.94036,11617.83921,9170.036174
2025,Templeton Station,1284214.287,3442.648782,3675.120752,3682.017072
2025,VCC-Clark Station,879528.512,3000.809981,1415.645276,949.4474201
2025,Vancouver City Centre Station,4941389.125,14860.91824,11781.30394,9896.209197
2025,Waterfront Station,10684238.11,32467.08895,24889.60278,20586.78012
2025,YVR-Airport Station,3023452.093,8446.705548,7717.677005,8113.075577
2025,Yaletown-Roundhouse Station,3024491.049,8914.213601,7771.789555,6302.046444
